Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:5,1283.95,1543.47,1376.92,69.58,0.586,200000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:1,1244.78,1422.87,1327.76,59.18,2.901,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,1055.36,1358.60,1154.61,82.28,2.464,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:5,1043.62,1206.79,1128.43,57.41,2.410,800000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:1,1057.09,1227.39,1130.88,48.99,4.747,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,1120.20,1254.32,1171.57,47.14,5.102,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:5,1094.40,1266.73,1176.24,45.00,5.344,1600000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:1,1087.83,1327.71,1190.75,70.57,12.706,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,1086.07,1378.61,1193.10,74.43,13.303,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:5,1037.42,1307.60,1188.27,72.92,15.569,4000000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:1,1239.27,1351.73,1291.88,29.87,1.615,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,1216.13,1426.78,1321.99,67.29,1.813,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:5,1205.35,1436.07,1301.55,62.81,1.795,400000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:1,1052.33,1209.88,1109.32,54.52,7.159,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,1072.40,1200.52,1139.09,40.32,6.312,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:5,1041.34,1263.39,1180.85,70.19,6.573,1600000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:1,1066.24,1337.11,1193.86,76.65,10.493,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,1138.74,1253.12,1193.67,44.53,10.971,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:5,1137.92,1302.76,1189.79,44.87,12.031,3200000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:1,994.35,1147.98,1071.26,44.53,26.286,8000000 (best)
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:3,987.19,1170.19,1086.07,50.96,28.139,8000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:5,1067.85,1197.74,1121.03,41.82,34.147,8000000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,1126.42,1257.02,1199.46,44.25,2.552,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1138.57,1331.87,1225.79,61.22,2.806,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1130.88,1267.33,1202.48,48.09,2.459,500000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,1034.02,1343.37,1160.69,80.62,7.716,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1077.03,1273.34,1162.06,60.02,7.083,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,1086.30,1264.25,1157.77,54.44,6.973,2000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,998.41,1133.15,1054.79,36.78,15.159,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1056.12,1234.75,1125.55,54.41,14.358,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,1049.66,1208.07,1111.46,44.63,14.437,4000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,998.48,1232.04,1099.45,71.78,36.157,10000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1054.83,1162.64,1111.22,34.72,36.208,10000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,988.20,1232.34,1122.93,70.89,37.212,10000000
